StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,RelCheck_1,RelCheck_2,RelCheck_3,RelCheck_4,RelCheck_5,TimeHelp_1,TimeHelp_2,TimeHelp_3,TimeHelp_4,TimeHelp_5,TimeHelp_6,TimeHelp_7,MoneyHelp_1,MoneyHelp_2,MoneyHelp_3,MoneyHelp_4,MoneyHelp_5,MoneyHelp_6,MoneyHelp_7,IndCol_1,IndCol_2,IndCol_3,IndCol_4,IndCol_5,IndCol_6,IndCol_7,IndCol_8,IndCol_9,IndCol_10,IndCol_11,IndCol_12,RelDist_1,RelDist_2,RelDist_3,RelDist_4,RelDist_5,RelDist_6,RelDist_7,RelCont_1,RelCont_2,RelCont_3,RelCont_4,RelCont_5,RelCont_6,RelCont_7,RelTalk_1,RelTalk_2,RelTalk_3,RelTalk_4,RelTalk_5,RelTalk_6,RelTalk_7,RelPhone_1,RelPhone_2,RelPhone_3,RelPhone_4,RelPhone_5,RelPhone_6,RelPhone_7,ParClose_1,ParClose_2,PPClose_1,PPClose_2,PartClose_1,PartClose_2,SibClose_1,SibClose_2,CousinClose_1,CousinClose_2,FriendClose_1,FriendClose_2,AcqClose_1,AcqClose_2,RelBen_1,RelBen_2,RelBen_3,RelBen_4,RelBen_5,RelBen_6,RelBen_7,RelHap_1,RelHap_2,RelHap_3,RelHap_4,RelHap_5,RelHap_6,RelHap_7,RelCost_1,RelCost_2,RelCost_3,RelCost_4,RelCost_5,RelCost_6,RelCost_7,RelPrior_1,RelPrior_2,RelPrior_3,RelPrior_4,RelPrior_5,RelPrior_6,RelPrior_7,ParSup_1,ParSup_2,ParSup_3,PPSup_1,PPSup_2,PPSup_3,PartSup_1,PartSup_2,PartSup_3,SibSup_1,SibSup_2,SibSup_3,CousinSup_1,CousinSup_2,CousinSup_3,FriendSup_1,FriendSup_2,FriendSup_3,AcqSup_1,AcqSup_2,AcqSup_3,Income,RaceEth_1,RaceEth_2,RaceEth_3,RaceEth_4,RaceEth_5,RaceEth_6,RaceEth_7,RaceEth_8,RaceEth_7_TEXT,country,Age,RelCheck2_1,RelCheck2_2,RelCheck2_3,RelCheck2_4,RelCheck2_5,RelCheck2_6,MarStat,MarStat_5_TEXT,RelLength_Text_1,RelLength_Text_2,MarLength,Living,Living_5_TEXT,Child,Child_3_TEXT,GenderID,GenderID_8_TEXT,GAB,GAB_5_TEXT,SexOr,SexOr_9_TEXT,SpGenderID,SpGenderID_8_TEXT,SpGAB,SpGAB_5_TEXT,SpSexOr,SpSexOr_9_TEXT,Attention_Check,DataConsent,aid,Ind,Col,RelDist_1_z,RelCont_1_z,RelTalk_1_z,RelPhone_1_z,RelDist_2_z,RelCont_2_z,RelTalk_2_z,RelPhone_2_z,RelDist_3_z,RelCont_3_z,RelTalk_3_z,RelPhone_3_z,RelDist_6_z,RelCont_6_z,RelTalk_6_z,RelPhone_6_z,RelDist_7_z,RelCont_7_z,RelTalk_7_z,RelPhone_7_z,ConfPar,ConfInLaw,ConfSpouse,ConfFriend,ConfAcq,ClosePar,CloseInLaws,CloseSpouse,CloseFriend,CloseAcq,CommStrPar,CommStrInLaw,CommStrSpouse,CommStrFriend,CommStrAcq,SuppPar,SuppInLaws,SuppSpouse,SuppFriend,SuppAcq,RelLength,Race,ParentsTime_Z,InlawsTime_Z,SpouseTime_Z,FriendTime_Z,AcqTime_Z,ParentsMoney_Z,InlawsMoney_Z,SpouseMoney_Z,FriendMoney_Z,AcqMoney_Z
2/16/2023 10:02,2/16/2023 10:10,0,100,473,1,2/16/2023 10:10,R_1NkqLrfmX1BL8lG,anonymous,EN,1,1,1,1,1,1,5,2,7,0,NA,0,0,0,0,2000,0,NA,0,0,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,6,NA,1,1,9,9,9,9,NA,9,9,5,2,5,2,NA,5,4,5,2,4,2,NA,5,3,6,6,2,2,6,6,3,3,NA,NA,5,5,4,4,10,5,10,7,NA,10,5,10,10,10,10,NA,10,10,9,5,10,6,NA,6,5,10,8,10,10,NA,10,10,7,7,7,5,5,5,7,7,7,6,6,6,NA,NA,NA,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee6fa0-3804-d35f-9de6-2ba049e218fc,5,4.285714285714286,-1.4193675874815024,0.6689855348602151,1.09438257690068,0.9535902914255318,1.0442999839280345,0.7996350041942818,-0.8096455517174652,-0.8271624522162505,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.10248365447417047,-1.1766704621888802,0.747481211923483,1.3496033879223241,1.2644817825023245,-1.0547839418066718,1.0632863446807421,0.9095113938105613,0.17615949611965115,0.32439770392623113,0.051781746047150135,0.09482192427681095,0.5462239800398129,0.2735433232010707,6,2,6,5,4,9.75,7,10,9,7.5,7,5,7,7,6,29,1,0.610583438488052,-0.16433170226141644,0.892352662860421,-1.0488245186729368,-0.5724542105257288,-1.2726407542693374,-0.9847548044290559,2.41933549650017,-0.7746205444845401,-0.5516329962418856
2/16/2023 10:22,2/16/2023 10:29,0,100,445,1,2/16/2023 10:29,R_piXuzrA2OCe5R97,anonymous,EN,1,1,1,1,1,1,3,3,3,3,NA,2,0,499,499,391,373,NA,238,0,5,6,6,6,6,6,6,6,5,6,6,7,2,2,1,2,NA,1,1,9,9,9,9,NA,9,9,5,5,5,5,NA,5,5,5,5,5,5,NA,5,5,7,7,7,7,7,7,6,7,NA,NA,7,7,5,5,10,10,10,10,NA,8,7,10,10,10,10,NA,8,7,10,10,10,10,NA,8,7,10,10,10,10,NA,9,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,7,7,7,5,5,5,3,0,0,0,0,1,0,0,0,NA,187,48,0,0,0,0,0,1,1,NA,10,0,3,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,63ee740e-bbec-0296-5e36-1f24cacf0ba4,5.8,6,-0.9325313618235959,0.6689855348602151,1.09438257690068,0.9535902914255318,-0.9111804255372081,0.7996350041942818,1.3835715124285795,1.4210226743202257,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,-1.1766704621888802,0.747481211923483,1.3496033879223241,1.2644817825023245,-1.0547839418066718,1.0632863446807421,1.6439847457934298,1.772839184353086,0.44610676034070773,0.6732621913514697,0.3131121083067946,0.5462239800398129,0.8563315832551466,7,7,7,7,5,10,10,10,8.25,7,7,7,7,7,5,10,5,-0.20352781282935065,0.3528298313259826,-0.4524605051123262,0.2580077782470543,-0.5724542105257288,-0.05766216087611538,0.711397112499896,-0.6197368254432745,0.2020832623106918,-0.5516329962418856
2/16/2023 10:27,2/16/2023 10:35,0,100,450,1,2/16/2023 10:35,R_26eYq7kzWH6UeJE,anonymous,EN,1,0,0,0,1,0,5,5,2,NA,NA,2,0,790,596,582,NA,NA,32,0,7,6,7,7,3,6,2,7,7,7,1,7,3,3,1,NA,NA,2,2,9,9,9,NA,NA,9,6,5,4,5,NA,NA,5,2,5,4,3,NA,NA,4,1,7,7,7,7,7,7,NA,NA,NA,NA,7,7,5,5,10,10,10,NA,NA,10,8,10,10,10,NA,NA,10,10,10,10,10,NA,NA,10,5,10,10,10,NA,NA,10,8,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,2,2,2,6,1,0,0,0,0,0,0,0,NA,187,53,0,0,0,0,0,1,1,NA,4,5,3,1,NA,2,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee753e-a41f-50d6-8fba-cb6fe7eb9401,6,5.285714285714286,-0.44569513616568923,0.6689855348602151,1.09438257690068,0.9535902914255318,-0.42231032317089745,0.7996350041942818,0.6524991577132312,0.6716276321414002,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.9756443905941051,-0.6304503344048881,0.747481211923483,1.3496033879223241,0.4267136665410322,-0.5028920993943791,-0.1778588067465968,-0.5594353101551754,-1.4205201921137838,0.5678158167551844,0.42536286771950393,-0.12346825975317272,0.4733369829954878,-0.6651766021024837,7,7,7,7,5,10,10,10,10,7.75,7,7,7,7,2,4.416666666666667,1,0.610583438488052,1.3871528985007808,-0.788663797105513,0.2580077782470543,-0.5724542105257288,0.6508724496998919,1.041110010179472,-0.25897684191860204,-0.6432990242431643,-0.5516329962418856
2/16/2023 10:22,2/16/2023 10:35,0,100,781,1,2/16/2023 10:35,R_2rot4h9QEN8Pydo,anonymous,EN,1,1,0,0,1,0,0,0,14,0,NA,0,0,0,0,2000,0,NA,0,0,7,3,2,7,2,3,6,5,2,6,6,7,7,7,1,7,NA,2,1,1,1,9,9,NA,5,5,1,1,5,1,NA,2,2,1,1,2,3,NA,1,2,1,1,1,1,7,7,7,7,NA,NA,4,4,3,2,0,0,10,10,NA,10,7,0,0,10,8,NA,8,6,0,0,10,8,NA,4,0,0,0,10,5,NA,5,1,1,1,1,1,1,1,6,6,6,6,6,6,NA,NA,NA,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,NA,187,64,0,0,1,0,1,0,1,NA,15,2,11,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,63ee740d-64ad-6322-3195-3bec26d1ebba,5.6,4,1.5016497664659372,-2.2828269282343414,-1.8795586479468822,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,0.6609806867036937,-1.84880512671404,-0.6304503344048881,-1.1071388385301448,-1.077414469349755,-2.086590681342845,-1.0547839418066718,-0.5915738572223764,-0.5594353101551754,-0.6221803479970663,-1.1634951245726688,-0.9846465400541768,-0.34175844378315645,-1.2253985809069081,-0.7069933642953226,1,1,7,4,2.5,0,0,10,6.75,3.5,1,1,6,4,2,15.166666666666666,1,-1.4246946898054544,-1.1986547694362146,3.245775706812729,-1.0488245186729368,-0.5724542105257288,-1.2726407542693374,-0.9847548044290559,2.41933549650017,-0.7746205444845401,-0.5516329962418856
2/16/2023 10:30,2/16/2023 10:41,0,100,644,1,2/16/2023 10:41,R_1hQiz9R0BYShpzo,anonymous,EN,1,0,0,0,1,0,4,4,6,NA,NA,0,0,971,962,67,NA,NA,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,7,7,9,9,9,NA,NA,9,9,4,4,4,NA,NA,4,4,4,4,4,NA,NA,4,4,7,7,7,7,7,7,NA,NA,NA,NA,7,7,7,7,10,10,10,NA,NA,10,10,10,10,10,NA,NA,10,10,10,10,10,NA,NA,10,10,10,10,10,NA,NA,10,10,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,1,0,0,0,0,1,0,0,0,NA,78,59,0,0,0,0,0,1,1,NA,12,2,12.33,1,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,63ee7600-ff35-6477-af57-d1e29d37e6f2,7,7,1.5016497664659372,0.6689855348602151,0.35089727068878956,0.21688154642530155,1.5331700862943451,0.7996350041942818,0.6524991577132312,0.6716276321414002,-0.7256029710556304,0.546393635933351,-0.20680990810974512,-0.10248365447417047,2.1006503045150726,0.747481211923483,0.5405974354982979,0.4267136665410322,2.2565671126670854,1.0632863446807421,0.9095113938105613,0.9744993402363686,0.6846035296100609,0.9142329700858146,-0.12212572442654876,0.9538606546194714,1.3009660478486893,7,7,7,7,7,10,10,10,10,10,7,7,7,7,7,12.166666666666666,5,0.20352781282935065,0.8699913649133817,0.5561493708672343,-1.0488245186729368,-0.5724542105257288,1.0915761078244874,2.2851813560632324,-1.2317066404275354,-0.7746205444845401,-0.5516329962418856
2/16/2023 10:22,2/16/2023 10:42,0,100,1172,1,2/16/2023 10:42,R_1gdNlkrmdWj9Rvm,anonymous,EN,1,1,1,0,1,0,3,3,3,2,NA,2,1,596,600,307,289,NA,208,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,NA,6,2,5,5,9,9,NA,9,9,1,1,5,4,NA,3,2,1,1,5,5,NA,4,3,6,6,5,5,7,7,7,7,NA,NA,7,7,6,6,10,10,10,10,NA,10,7,10,10,10,10,NA,10,10,9,9,9,9,NA,9,7,10,10,10,10,NA,10,7,7,6,6,5,5,5,6,6,6,6,6,6,NA,NA,NA,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee73fa-336c-c8c8-94a7-d65f35d3c3df,4.4,4.571428571428571,1.5016497664659372,-0.8069206966870631,-1.8795586479468822,-1.993244688575389,1.5331700862943451,-0.7774229207444406,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,1.5544301767310804,0.747481211923483,-0.26840851692572854,0.4267136665410322,-0.5028920993943791,1.0632863446807421,-0.5594353101551754,0.17615949611965115,-0.7945185666858493,-0.5903820588194962,0.3131121083067946,0.6150541345674668,0.04427960781270969,6,5,7,7,6,9.75,9.75,9.75,9.75,7.75,6.333333333333333,5,6,6,4.333333333333333,43.916666666666664,1,-0.20352781282935065,0.3528298313259826,-0.4524605051123262,0.2580077782470543,0.08090686175430303,0.17851604264922039,1.054706418331207,-0.7783956663651198,0.07896933708440207,-0.5516329962418856
2/16/2023 10:28,2/16/2023 10:48,0,100,1184,1,2/16/2023 10:48,R_3iEEI0wg6qYBGf9,anonymous,EN,1,0,1,0,1,0,4,4,4,NA,1,1,0,393,375,469,NA,384,379,0,3,5,5,5,4,5,5,5,4,5,5,6,2,2,1,NA,3,1,1,5,5,9,NA,8,9,9,1,1,5,NA,2,5,5,1,1,3,NA,3,4,4,7,7,7,7,7,7,NA,NA,6,6,7,7,6,6,10,10,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,NA,10,10,10,10,10,10,NA,10,10,10,7,7,7,6,6,6,7,7,7,NA,NA,NA,6,6,6,7,7,7,4,4,4,2,1,0,0,0,0,0,0,0,NA,187,80,1,1,1,0,1,0,1,NA,61,6,58,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee7539-48d9-a1d2-b7a1-d4682830b6a4,4.6,4.857142857142857,-0.9325313618235959,-0.8069206966870631,-1.8795586479468822,-1.993244688575389,-0.9111804255372081,-0.7774229207444406,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.9756443905941051,-1.1766704621888802,0.747481211923483,1.3496033879223241,0.4267136665410322,-1.0547839418066718,1.0632863446807421,1.6439847457934298,0.9744993402363686,-1.4030638487582325,-1.2014696867773846,-0.12346825975317272,0.3367819510494898,0.6567466222259672,7,7,7,7,6,10,10,10,10,10,7,6,7,7,4,61.5,1,0.20352781282935065,0.8699913649133817,-0.11625721311913942,-0.39540837021294123,-0.5724542105257288,-0.31575380596565755,0.28990845979610835,-0.47241075887298933,0.7807187108742535,-0.5516329962418856
2/16/2023 10:43,2/16/2023 10:50,0,100,437,1,2/16/2023 10:50,R_31NnnwG5PQwNY2b,anonymous,EN,1,1,1,1,1,0,7,0,7,0,NA,0,0,410,0,1590,0,NA,0,0,5,5,4,4,5,5,5,5,2,5,5,6,3,1,1,3,NA,1,1,9,1,9,9,NA,9,9,5,1,5,5,NA,5,5,5,1,5,5,NA,5,5,7,7,1,1,7,7,1,1,NA,NA,4,4,3,3,10,0,10,1,NA,7,2,10,10,10,10,NA,10,10,4,4,4,4,NA,4,4,10,0,10,10,NA,1,0,7,7,7,1,1,1,7,7,7,1,1,1,NA,NA,NA,4,4,4,1,1,1,7,1,0,0,0,0,0,0,0,NA,187,59,0,0,0,0,1,0,1,NA,34,2,34,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee78d3-e764-ebfd-d058-21f0ba050476,4.6,4.714285714285714,-0.44569513616568923,0.6689855348602151,1.09438257690068,0.9535902914255318,-1.4000505279035187,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,-1.1766704621888802,0.747481211923483,1.3496033879223241,1.2644817825023245,-1.0547839418066718,1.0632863446807421,1.6439847457934298,1.772839184353086,0.5678158167551844,-1.7179516936036427,0.3131121083067946,0.5462239800398129,0.8563315832551466,7,1,7,4,3,8.5,3.5,8.5,5.5,4,7,1,7,4,1,34.166666666666664,1,1.4246946898054544,-1.1986547694362146,0.892352662860421,-1.0488245186729368,-0.5724542105257288,-0.2743617496777121,-0.9847548044290559,1.6449292491435434,-0.7746205444845401,-0.5516329962418856
2/16/2023 10:28,2/16/2023 10:52,0,100,1433,1,2/16/2023 10:52,R_1d9P16OnBL8wFkd,anonymous,EN,1,1,1,0,1,0,3,3,5,0,NA,3,0,497,497,727,203,NA,76,0,5,1,7,7,2,1,4,6,2,7,2,7,7,7,1,7,NA,7,7,1,1,9,1,NA,7,9,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,7,7,1,1,7,7,2,1,NA,NA,5,3,7,5,10,0,10,2,NA,3,6,10,5,10,2,NA,6,7,7,0,10,0,NA,1,2,10,0,10,0,NA,5,7,7,7,7,1,1,1,7,7,7,7,7,7,NA,NA,NA,7,7,5,7,7,7,2,1,0,0,0,0,0,0,0,NA,187,64,1,0,1,0,1,0,1,NA,33,8,33,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,63ee7561-f41f-3995-2ece-88d2ad619a56,6,3,1.5016497664659372,-2.2828269282343414,-1.8795586479468822,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,-2.8101816925500613,-2.7219658628339745,2.1006503045150726,-0.17982881330333095,-1.8864204217737812,-2.086590681342845,2.2565671126670854,1.0632863446807421,-1.293908662138044,-1.4205201921137838,-1.1634951245726688,-0.9846465400541768,-1.4278392226265788,-0.5130474029762211,0.15135615077399994,7,1,7,4,6,9.25,1.25,10,3.75,5.5,7,1,7,6.333333333333333,7,33.666666666666664,1,-0.20352781282935065,0.3528298313259826,0.2199460788740474,0.9114239267070497,-0.5724542105257288,-0.06253181455705013,0.7045989084240285,0.014898538244107381,-0.46273193391127276,-0.5516329962418856
2/16/2023 10:42,2/16/2023 10:53,0,100,667,1,2/16/2023 10:53,R_2ztDEe2bmbblJnR,anonymous,EN,1,1,1,0,1,0,4,4,6,0,NA,0,0,1020,406,574,0,NA,0,0,1,6,5,5,2,5,6,2,1,7,6,7,7,7,1,6,NA,1,1,1,1,9,7,NA,7,7,1,1,5,4,NA,4,4,1,1,5,3,NA,5,5,7,7,4,4,7,7,6,6,NA,NA,4,4,3,3,0,0,10,8,NA,6,5,0,0,10,10,NA,8,7,0,0,10,5,NA,3,1,0,0,10,7,NA,5,3,1,1,1,1,1,1,7,7,7,6,6,6,NA,NA,NA,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,NA,187,79,1,0,1,0,1,0,1,NA,42,0,40,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,63ee78a9-a617-242d-5699-f8cf2ca4ab0a,4.8,4.142857142857143,1.5016497664659372,-2.2828269282343414,-1.8795586479468822,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,-1.1766704621888802,-0.17982881330333095,0.5405974354982979,1.2644817825023245,-1.0547839418066718,0.23585624372918287,0.9095113938105613,1.772839184353086,-1.1634951245726688,-0.9846465400541768,0.3131121083067946,0.1121449856271028,0.4658557200215396,7,4,7,4,3,0,0,10,5.5,4,1,1,7,4,2,42,1,0.20352781282935065,0.8699913649133817,0.5561493708672343,-1.0488245186729368,-0.5724542105257288,1.210882623007389,0.3952806229720553,-0.27408720772068257,-0.7746205444845401,-0.5516329962418856
