aid,RelCheck_1,RelCheck_2,RelCheck_3,RelCheck_4,RelCheck_5,TimeHelp_1,TimeHelp_2,TimeHelp_3,TimeHelp_6,TimeHelp_7,MoneyHelp_1,MoneyHelp_2,MoneyHelp_3,MoneyHelp_6,MoneyHelp_7,IndCol_1,IndCol_2,IndCol_3,IndCol_4,IndCol_5,IndCol_6,IndCol_7,IndCol_8,IndCol_9,IndCol_10,IndCol_11,IndCol_12,RelDist_1,RelDist_2,RelDist_3,RelDist_6,RelDist_7,RelCont_1,RelCont_2,RelCont_3,RelCont_6,RelCont_7,RelTalk_1,RelTalk_2,RelTalk_3,RelTalk_6,RelTalk_7,RelPhone_1,RelPhone_2,RelPhone_3,RelPhone_6,RelPhone_7,ParClose_1,ParClose_2,PPClose_1,PPClose_2,PartClose_1,PartClose_2,FriendClose_1,FriendClose_2,AcqClose_1,AcqClose_2,RelBen_1,RelBen_2,RelBen_3,RelBen_6,RelBen_7,RelHap_1,RelHap_2,RelHap_3,RelHap_6,RelHap_7,RelCost_1,RelCost_2,RelCost_3,RelCost_6,RelCost_7,RelPrior_1,RelPrior_2,RelPrior_3,RelPrior_6,RelPrior_7,ParSup_1,ParSup_2,ParSup_3,PPSup_1,PPSup_2,PPSup_3,PartSup_1,PartSup_2,PartSup_3,FriendSup_1,FriendSup_2,FriendSup_3,AcqSup_1,AcqSup_2,AcqSup_3,Income,RaceEth_1,RaceEth_2,RaceEth_3,RaceEth_4,RaceEth_5,RaceEth_6,RaceEth_7,RaceEth_8,RaceEth_7_TEXT,country,Age,RelCheck2_1,RelCheck2_2,RelCheck2_3,RelCheck2_4,RelCheck2_5,RelCheck2_6,MarStat,MarStat_5_TEXT,RelLength_Text_1,RelLength_Text_2,MarLength,Living,Living_5_TEXT,Child,Child_3_TEXT,GenderID,GenderID_8_TEXT,GAB,GAB_5_TEXT,SexOr,SexOr_9_TEXT,SpGenderID,SpGenderID_8_TEXT,SpGAB,SpGAB_5_TEXT,SpSexOr,SpSexOr_9_TEXT,Attention_Check,DataConsent,Ind,Col,ConfPar,ConfInLaw,ConfSpouse,ConfFriend,ConfAcq,ClosePar,CloseInLaws,CloseSpouse,CloseFriend,CloseAcq,CommStrPar,CommStrInLaw,CommStrSpouse,CommStrFriend,CommStrAcq,SuppPar,SuppInLaws,SuppSpouse,SuppFriend,SuppAcq,Race,SibCous,RelDist_1_z,RelCont_1_z,RelTalk_1_z,RelPhone_1_z,RelDist_2_z,RelCont_2_z,RelTalk_2_z,RelPhone_2_z,ConfInLaws,RelDist_3_z,RelCont_3_z,RelTalk_3_z,RelPhone_3_z,RelDist_4_z,RelCont_4_z,RelTalk_4_z,RelPhone_4_z,RelDist_5_z,RelCont_5_z,RelTalk_5_z,RelPhone_5_z,RelDist_6_z,RelCont_6_z,RelTalk_6_z,RelPhone_6_z,RelDist_7_z,RelCont_7_z,RelTalk_7_z,RelPhone_7_z,IND_C,COL_C,ParentsTime_Z,InlawsTime_Z,SpouseTime_Z,FriendTime_Z,AcqTime_Z,ParentsMoney_Z,InlawsMoney_Z,SpouseMoney_Z,FriendMoney_Z,AcqMoney_Z
63ee6fa0-3804-d35f-9de6-2ba049e218fc,1,1,1,1,1,5,2,7,0,0,0,0,2000,0,0,5,5,5,5,3,3,5,5,5,5,3,6,1,6,1,1,1,9,9,9,9,9,5,2,5,5,4,5,2,4,5,3,6,6,2,2,6,6,5,5,4,4,10,5,10,10,5,10,10,10,10,10,9,5,10,6,5,10,8,10,10,10,7,7,7,5,5,5,7,7,7,7,7,7,6,6,6,3,1,0,0,0,0,0,0,0,NA,187,50,0,0,0,0,0,1,1,NA,29,0,26,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,5,4.285714285714286,0.32439770392623113,4.75,0.09482192427681096,0.5462239800398129,0.2735433232010707,6,2,6,5,4,9.75,7,10,9,7.5,7,5,7,7,6,1,1,-1.4193675874815024,0.6689855348602151,1.09438257690068,0.9535902914255318,1.0442999839280345,0.7996350041942818,-0.8096455517174652,-0.8271624522162505,0.05178174604715013,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.10248365447417047,1.0552743803501208,0.6426395888240942,-1.0012108395494554,-1.1845221536858233,NA,NA,NA,NA,-1.1766704621888802,0.747481211923483,1.349603387922324,1.2644817825023245,-1.0547839418066718,1.063286344680742,0.9095113938105612,0.17615949611965115,-0.09626168224299025,-0.511348464619493,0.610583438488052,-0.16433170226141644,0.892352662860421,-1.0488245186729368,-0.5724542105257288,-1.2726407542693374,-0.9847548044290559,2.41933549650017,-0.7746205444845401,-0.5516329962418856
63ee740e-bbec-0296-5e36-1f24cacf0ba4,1,1,1,1,1,3,3,3,2,0,499,499,391,238,0,5,6,6,6,6,6,6,6,5,6,6,7,2,2,1,1,1,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,5,5,10,10,10,8,7,10,10,10,8,7,10,10,10,8,7,10,10,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,3,0,0,0,0,1,0,0,0,NA,187,48,0,0,0,0,0,1,1,NA,10,0,3,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,5.8,6,0.4461067603407078,5.25,0.3131121083067946,0.5462239800398129,0.8563315832551466,7,7,7,7,5,10,10,10,8.25,7,7,7,7,7,5,5,1,-0.932531361823596,0.6689855348602151,1.09438257690068,0.9535902914255318,-0.911180425537208,0.7996350041942818,1.3835715124285797,1.4210226743202257,0.6732621913514697,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,-1.0852112422040254,0.6426395888240942,1.2834670868692488,1.1252960460015322,NA,NA,NA,NA,-1.1766704621888802,0.747481211923483,1.349603387922324,1.2644817825023245,-1.0547839418066718,1.063286344680742,1.6439847457934298,1.772839184353086,0.7037383177570096,1.2029372496662214,-0.20352781282935065,0.3528298313259826,-0.4524605051123262,0.2580077782470543,-0.5724542105257288,-0.05766216087611538,0.711397112499896,-0.6197368254432745,0.2020832623106918,-0.5516329962418856
63ee753e-a41f-50d6-8fba-cb6fe7eb9401,0,0,0,1,0,5,5,2,2,0,790,596,582,32,0,7,6,7,7,3,6,2,7,7,7,1,7,3,3,1,2,2,9,9,9,9,6,5,4,5,5,2,5,4,3,4,1,7,7,7,7,7,7,7,7,5,5,10,10,10,10,8,10,10,10,10,10,10,10,10,10,5,10,10,10,10,8,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,6,1,0,0,0,0,0,0,0,NA,187,53,0,0,0,0,0,1,1,NA,4,5,3,1,NA,2,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,6,5.285714285714286,0.5678158167551844,5,-0.12346825975317272,0.4733369829954878,-0.6651766021024837,7,7,7,7,5,10,10,10,10,7.75,7,7,7,7,2,1,0,-0.4456951361656892,0.6689855348602151,1.09438257690068,0.9535902914255318,-0.42231032317089745,0.7996350041942818,0.6524991577132312,0.6716276321414002,0.42536286771950393,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.9756443905941052,NA,NA,NA,NA,NA,NA,NA,NA,-0.6304503344048881,0.747481211923483,1.349603387922324,0.4267136665410322,-0.5028920993943791,-0.1778588067465968,-0.5594353101551754,-1.4205201921137838,0.9037383177570097,0.488651535380507,0.610583438488052,1.3871528985007808,-0.788663797105513,0.2580077782470543,-0.5724542105257288,0.6508724496998919,1.041110010179472,-0.25897684191860204,-0.6432990242431643,-0.5516329962418856
63ee740d-64ad-6322-3195-3bec26d1ebba,1,0,0,1,0,0,0,14,0,0,0,0,2000,0,0,7,3,2,7,2,3,6,5,2,6,6,7,7,7,1,2,1,1,1,9,5,5,1,1,5,2,2,1,1,2,1,2,1,1,1,1,7,7,4,4,3,2,0,0,10,10,7,0,0,10,8,6,0,0,10,4,0,0,0,10,5,1,1,1,1,1,1,1,6,6,6,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,NA,187,64,0,0,1,0,1,0,1,NA,15,2,11,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,5.6,4,-1.1634951245726688,2.5,-0.34175844378315645,-1.225398580906908,-0.7069933642953226,1,1,7,4,2.5,0,0,10,6.75,3.5,1,1,6,4,2,1,1,1.5016497664659372,-2.2828269282343414,-1.8795586479468824,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.9846465400541768,-0.7256029710556304,0.546393635933351,0.6609806867036937,-1.84880512671404,1.5903957859886575,0.6426395888240942,-1.76277014835569,-0.41458275379003806,NA,NA,NA,NA,-0.6304503344048881,-1.1071388385301448,-1.077414469349755,-2.086590681342845,-1.0547839418066718,-0.5915738572223764,-0.5594353101551754,-0.6221803479970663,0.5037383177570094,-0.7970627503337786,-1.4246946898054544,-1.1986547694362146,3.245775706812729,-1.0488245186729368,-0.5724542105257288,-1.2726407542693374,-0.9847548044290559,2.41933549650017,-0.7746205444845401,-0.5516329962418856
63ee7600-ff35-6477-af57-d1e29d37e6f2,0,0,0,1,0,4,4,6,0,0,971,962,67,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0,0,0,1,0,0,0,NA,78,59,0,0,0,0,0,1,1,NA,12,2,12.33,1,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,7,7,0.6846035296100609,6,-0.12212572442654876,0.9538606546194714,1.3009660478486893,7,7,7,7,7,10,10,10,10,10,7,7,7,7,7,5,0,1.5016497664659372,0.6689855348602151,0.35089727068878956,0.21688154642530155,1.5331700862943451,0.7996350041942818,0.6524991577132312,0.6716276321414002,0.9142329700858146,-0.7256029710556304,0.546393635933351,-0.20680990810974512,-0.10248365447417047,NA,NA,NA,NA,NA,NA,NA,NA,2.1006503045150726,0.747481211923483,0.5405974354982979,0.4267136665410322,2.2565671126670854,1.063286344680742,0.9095113938105612,0.9744993402363686,1.9037383177570097,2.2029372496662214,0.20352781282935065,0.8699913649133817,0.5561493708672343,-1.0488245186729368,-0.5724542105257288,1.0915761078244874,2.2851813560632324,-1.2317066404275354,-0.7746205444845401,-0.5516329962418856
63ee73fa-336c-c8c8-94a7-d65f35d3c3df,1,1,0,1,0,3,3,3,2,1,596,600,307,208,0,4,6,5,5,2,5,3,4,3,5,5,7,7,7,1,6,2,5,5,9,9,9,1,1,5,3,2,1,1,5,4,3,6,6,5,5,7,7,7,7,6,6,10,10,10,10,7,10,10,10,10,10,9,9,9,9,7,10,10,10,10,7,7,6,6,5,5,5,6,6,6,6,6,6,5,4,4,3,1,0,0,0,0,0,0,0,NA,187,65,0,0,1,0,1,0,1,NA,43,11,42,1,NA,3,live together,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.4,4.571428571428571,-0.7945185666858493,3.5,0.3131121083067946,0.6150541345674668,0.04427960781270969,6,5,7,7,6,9.75,9.75,9.75,9.75,7.75,6.333333333333333,5,6,6,4.333333333333333,1,1,1.5016497664659372,-0.8069206966870631,-1.8795586479468824,-1.993244688575389,1.5331700862943451,-0.7774229207444406,-1.5407179064328134,-1.576557494395076,-0.5903820588194962,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,1.0552743803501208,0.6426395888240942,0.5219077780630141,1.1252960460015322,NA,NA,NA,NA,1.5544301767310804,0.747481211923483,-0.26840851692572854,0.4267136665410322,-0.5028920993943791,1.063286344680742,-0.5594353101551754,0.17615949611965115,-0.6962616822429899,-0.22563417890520743,-0.20352781282935065,0.3528298313259826,-0.4524605051123262,0.2580077782470543,0.08090686175430303,0.17851604264922039,1.054706418331207,-0.7783956663651198,0.07896933708440207,-0.5516329962418856
63ee7539-48d9-a1d2-b7a1-d4682830b6a4,0,1,0,1,0,4,4,4,1,0,393,375,469,379,0,3,5,5,5,4,5,5,5,4,5,5,6,2,2,1,1,1,5,5,9,9,9,1,1,5,5,5,1,1,3,4,4,7,7,7,7,7,7,7,7,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,6,6,6,7,7,7,7,7,7,4,4,4,2,1,0,0,0,0,0,0,0,NA,187,80,1,1,1,0,1,0,1,NA,61,6,58,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.6,4.857142857142857,-1.4030638487582323,2.25,-0.12346825975317272,0.3367819510494898,0.6567466222259672,7,7,7,7,6,10,10,10,10,10,7,6,7,7,4,1,1,-0.932531361823596,-0.8069206966870631,-1.8795586479468824,-1.993244688575389,-0.911180425537208,-0.7774229207444406,-1.5407179064328134,-1.576557494395076,-1.2014696867773846,-0.7256029710556304,0.546393635933351,0.6609806867036937,-0.9756443905941052,NA,NA,NA,NA,0.09132515299544454,0.4494665749754947,-0.3745554791462457,0.5266400752650643,-1.1766704621888802,0.747481211923483,1.349603387922324,0.4267136665410322,-1.0547839418066718,1.063286344680742,1.6439847457934298,0.9744993402363686,-0.4962616822429906,0.06008010680907816,0.20352781282935065,0.8699913649133817,-0.11625721311913942,-0.39540837021294123,-0.5724542105257288,-0.31575380596565755,0.28990845979610835,-0.47241075887298933,0.7807187108742535,-0.5516329962418856
63ee78d3-e764-ebfd-d058-21f0ba050476,1,1,1,1,0,7,0,7,0,0,410,0,1590,0,0,5,5,4,4,5,5,5,5,2,5,5,6,3,1,1,1,1,9,1,9,9,9,5,1,5,5,5,5,1,5,5,5,7,7,1,1,7,7,4,4,3,3,10,0,10,7,2,10,10,10,10,10,4,4,4,4,4,10,0,10,1,0,7,7,7,1,1,1,7,7,7,4,4,4,1,1,1,7,1,0,0,0,0,0,0,0,NA,187,59,0,0,0,0,1,0,1,NA,34,2,34,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,4.6,4.714285714285714,0.5678158167551844,1,0.3131121083067946,0.5462239800398129,0.8563315832551466,7,1,7,4,3,8.5,3.5,8.5,5.5,4,7,1,7,4,1,1,1,-0.4456951361656892,0.6689855348602151,1.09438257690068,0.9535902914255318,-1.4000505279035187,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-1.7179516936036427,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,-0.5500898365654888,0.6426395888240942,1.2834670868692488,1.1252960460015322,NA,NA,NA,NA,-1.1766704621888802,0.747481211923483,1.349603387922324,1.2644817825023245,-1.0547839418066718,1.063286344680742,1.6439847457934298,1.772839184353086,-0.4962616822429906,-0.08277703604806419,1.4246946898054544,-1.1986547694362146,0.892352662860421,-1.0488245186729368,-0.5724542105257288,-0.2743617496777121,-0.9847548044290559,1.6449292491435434,-0.7746205444845401,-0.5516329962418856
63ee7561-f41f-3995-2ece-88d2ad619a56,1,1,0,1,0,3,3,5,3,0,497,497,727,76,0,5,1,7,7,2,1,4,6,2,7,2,7,7,7,1,7,7,1,1,9,7,9,1,1,1,1,1,1,1,1,1,1,7,7,1,1,7,7,5,3,7,5,10,0,10,3,6,10,5,10,6,7,7,0,10,1,2,10,0,10,5,7,7,7,7,1,1,1,7,7,7,7,7,5,7,7,7,2,1,0,0,0,0,0,0,0,NA,187,64,1,0,1,0,1,0,1,NA,33,8,33,1,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,1,NA,4,1,6,3,-1.1634951245726688,2.5,-1.4278392226265788,-0.5130474029762211,0.15135615077399994,7,1,7,4,6,9.25,1.25,10,3.75,5.5,7,1,7,6.333333333333333,7,1,1,1.5016497664659372,-2.2828269282343414,-1.8795586479468824,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.9846465400541768,-0.7256029710556304,0.546393635933351,-2.8101816925500613,-2.7219658628339745,1.5903957859886575,-2.825189135773848,-1.76277014835569,-1.9544615535816083,NA,NA,NA,NA,2.1006503045150726,-0.17982881330333095,-1.8864204217737812,-2.086590681342845,2.2565671126670854,1.063286344680742,-1.293908662138044,-1.4205201921137838,0.9037383177570097,-1.7970627503337786,-0.20352781282935065,0.3528298313259826,0.2199460788740474,0.9114239267070497,-0.5724542105257288,-0.06253181455705013,0.7045989084240285,0.014898538244107381,-0.46273193391127276,-0.5516329962418856
63ee78a9-a617-242d-5699-f8cf2ca4ab0a,1,1,0,1,0,4,4,6,0,0,1020,406,574,0,0,1,6,5,5,2,5,6,2,1,7,6,7,7,7,1,1,1,1,1,9,7,7,1,1,5,4,4,1,1,5,5,5,7,7,4,4,7,7,4,4,3,3,0,0,10,6,5,0,0,10,8,7,0,0,10,3,1,0,0,10,5,3,1,1,1,1,1,1,7,7,7,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,NA,187,79,1,0,1,0,1,0,1,NA,42,0,40,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,4,1,4.8,4.142857142857143,-1.1634951245726688,2.5,0.3131121083067946,0.1121449856271028,0.4658557200215396,7,4,7,4,3,0,0,10,5.5,4,1,1,7,4,2,1,1,1.5016497664659372,-2.2828269282343414,-1.8795586479468824,-1.993244688575389,1.5331700862943451,-2.354480845683163,-1.5407179064328134,-1.576557494395076,-0.9846465400541768,-0.7256029710556304,0.546393635933351,0.6609806867036937,0.7706770816457642,1.0552743803501208,-0.2243175923253914,0.5219077780630141,-0.41458275379003806,NA,NA,NA,NA,-1.1766704621888802,-0.17982881330333095,0.5405974354982979,1.2644817825023245,-1.0547839418066718,0.23585624372918287,0.9095113938105612,1.772839184353086,-0.29626168224299043,-0.6542056074766354,0.20352781282935065,0.8699913649133817,0.5561493708672343,-1.0488245186729368,-0.5724542105257288,1.210882623007389,0.3952806229720553,-0.27408720772068257,-0.7746205444845401,-0.5516329962418856
